team_id,entry_id,joint_goal_accuracy,slot_accuracy,value_prec,value_rec,value_f1,none_prec,none_rec,none_f1
A00,0,0.00394657,0.705157703,0.613021799,0.309713526,0.411518098,0.730154755,0.971648316,0.833767021
A01,0,0.360503947,0.936655162,0.920785161,0.867098704,0.893135886,0.949105791,0.986097411,0.967248052
A01,1,0.353825137,0.9354648,0.921622966,0.862080425,0.890857889,0.94653855,0.987417024,0.966545758
A01,2,0.355343048,0.936175822,0.92356607,0.864874045,0.893256996,0.946809191,0.987030471,0.966501556
A01,3,0.275045537,0.920717093,0.884892117,0.835768694,0.859629189,0.945595455,0.980685666,0.962820949
A01,4,0.357468124,0.936119899,0.918657669,0.865919575,0.89150936,0.949756743,0.986204047,0.967637308
A02,0,0.00136612,0.694588247,0.568302813,0.269193087,0.365334777,0.725687015,0.981005572,0.834248664
A03,0,0.051001821,0.767663695,0.65571603,0.496108342,0.56485381,0.818305839,0.95145424,0.879871311
A03,1,0.052367942,0.780310293,0.672450482,0.525101363,0.589710861,0.831393659,0.953173736,0.88812852
A04,0,0.005009107,0.699581376,0.65770396,0.284261881,0.39695742,0.709692068,0.979059476,0.822892801
A04,1,0.005009107,0.699581376,0.65770396,0.284261881,0.39695742,0.709692068,0.979059476,0.822892801
A05,0,0.145415908,0.839373023,0.808582242,0.695799934,0.747963489,0.86633259,0.947108848,0.904921707
A05,1,0.161353977,0.862333429,0.827279187,0.711889,0.765258739,0.883743614,0.966143265,0.923108272
A05,2,0.151942927,0.857699805,0.812922874,0.730074443,0.769274461,0.885902188,0.946255765,0.915084915
A05,3,0.161505768,0.862413319,0.82751091,0.712088401,0.76547309,0.883743614,0.966143265,0.923108272
A05,4,0.151942927,0.857667849,0.812834062,0.729994683,0.769190418,0.885902188,0.946255765,0.915084915
A06,0,0.149817851,0.834076311,0.715579094,0.704535061,0.710014134,0.913926856,0.923355816,0.918617141
A06,1,0.14435337,0.844725657,0.759285153,0.718981722,0.738584021,0.899310025,0.931220175,0.914986968
A06,2,0.157862781,0.856245806,0.745834068,0.759620472,0.752664144,0.935083339,0.923529098,0.929270305
A06,3,0.169095325,0.85951331,0.73750518,0.768931871,0.75289072,0.949783906,0.922729333,0.936061174
A07,0,0.274438373,0.895655578,0.819370373,0.77692323,0.797582445,0.945155888,0.977886487,0.961242646
A07,1,0.277322404,0.894800754,0.815411007,0.775640412,0.795028648,0.946416585,0.977273333,0.961597482
A07,2,0.268366727,0.893993864,0.813536984,0.775853107,0.79424831,0.946499451,0.975807097,0.96092986
A07,3,0.269732848,0.894712875,0.813314853,0.778106348,0.795321125,0.948078194,0.975513849,0.961600368
A07,4,0.273527626,0.894121689,0.811915683,0.776492522,0.793809116,0.947921254,0.975567167,0.961545536
A08,0,0.001821494,0.704510593,0.636215437,0.296236623,0.404246654,0.721717524,0.979526006,0.831087462
A09,0,0.169702489,0.868109481,0.844454234,0.726281157,0.780922364,0.883203315,0.965823358,0.922667482
A09,1,0.173193685,0.87198415,0.856897429,0.727363244,0.786834773,0.882389259,0.971555011,0.924827914
A09,2,0.179872495,0.876450005,0.869333522,0.734504487,0.796251702,0.882306763,0.973781024,0.925789814
A09,3,0.17243473,0.865872559,0.845444946,0.713123961,0.773667492,0.879016785,0.970981845,0.922713483
A09,4,0.182149362,0.875898763,0.876681368,0.733248255,0.798575384,0.877756017,0.973754365,0.923266498
A10,0,0.192015786,0.88501422,0.891461858,0.745592746,0.812028497,0.88416158,0.980872277,0.930009479
A10,1,0.232847602,0.901567443,0.869956792,0.801817405,0.834498461,0.922685244,0.970995175,0.946223989
A10,2,0.23527626,0.897253379,0.858054554,0.7922333,0.823831296,0.923176406,0.970515316,0.946254167
A10,3,0.254250152,0.904619244,0.850770994,0.814127617,0.832046057,0.941074344,0.968169337,0.954429581
A10,4,0.267911354,0.90787077,0.848559637,0.825446328,0.836843417,0.948578311,0.965850017,0.957136253
A11,0,0.457953855,0.949277794,0.921848637,0.899882353,0.910733061,0.970413425,0.985870811,0.978081051
A11,1,0.461596843,0.949829035,0.922386008,0.900866733,0.911499378,0.970653087,0.985790835,0.978163398
A11,2,0.429265331,0.94174416,0.912577501,0.882443337,0.897257478,0.963966196,0.985244328,0.974489123
A11,3,0.428658166,0.942455182,0.915246624,0.884422067,0.899570366,0.963707943,0.985404281,0.974435357
A11,4,0.407103825,0.935241108,0.900597939,0.870536106,0.8853119,0.961197455,0.982645091,0.97180295
