team_id,entry_id,detection_prec,detection_rec,detection_f1,selection_mrr@5,selection_r@1,selection_r@5,generation_bleu-1,generation_bleu-2,generation_bleu-3,generation_bleu-4,generation_meteor,generation_rouge_1,generation_rouge_2,generation_rouge_l,overall_mrr
B00,0,0.901669759,0.711566618,0.795417349,0.52299509,0.458265139,0.625204583,0.115337246,0.05158554,0.018626672,0.007457027,0.121503231,0.14426773,0.041185826,0.114269246,0.020212581081456932
B00,1,0.89668616,0.673499268,0.769230769,0.55738573,0.494983278,0.647157191,0.12481053,0.061482443,0.028971487,0.015261058,0.136442299,0.151929686,0.051908077,0.122863053,0.022176865503217916
B01,0,0.85890411,0.918008785,0.887473461,0.203798066,0.184005662,0.229299363,0.301698328,0.207154,0.121342773,0.068118851,0.351385117,0.352675603,0.173036415,0.338939301,0.034749772549622616
B02,0,0.868918919,0.941434846,0.903724526,0.70529398,0.676036543,0.746310611,0.371196725,0.275655952,0.194189718,0.130389266,0.435418337,0.417508397,0.237314729,0.409305556,0.11175047778308646
B02,1,0.868918919,0.941434846,0.903724526,0.69775123,0.661981729,0.746310611,0.370908174,0.271832718,0.192198546,0.123282894,0.435727227,0.415283412,0.230967064,0.404443462,0.10008815418298177
B02,2,0.868918919,0.941434846,0.903724526,0.716373858,0.678847505,0.767392832,0.370587791,0.271055327,0.191279153,0.122858913,0.435149988,0.414889974,0.229876642,0.403664378,0.0915479950806038
B02,3,0.868918919,0.941434846,0.903724526,0.723330991,0.692902319,0.765987351,0.373170409,0.277464358,0.195692454,0.131693604,0.438666536,0.419630639,0.239187717,0.411497723,0.15326210826210826
B02,4,0.868918919,0.941434846,0.903724526,0.713726868,0.684469431,0.7547435,0.371633081,0.27606863,0.194741118,0.130203863,0.436821612,0.418106703,0.237803774,0.409976576,0.1265126556074832
B03,0,0.168975069,0.089311859,0.116858238,0.0,0.0,0.0,0.006443559,0.000493474,2.54e-106,1.83e-157,0.007183128,0.009273042,0.000546075,0.008092268,0.01673805995492575
B03,1,0.168067227,0.087847731,0.115384615,0.0,0.0,0.0,0.002142723,0.000350078,1.63e-106,1.12e-157,0.004427002,0.005637948,0.000585135,0.005241164,0.01655513877311599
B03,2,0.186246418,0.095168375,0.125968992,0.0,0.0,0.0,0.006306127,0.00080988,4.81e-05,8.77e-82,0.007646805,0.009918274,0.001038079,0.008959098,0.016925612052730698
B04,0,0.881401617,0.957540264,0.917894737,0.78451462,0.738245614,0.843508772,0.159418635,0.086913717,0.04406325,0.023155908,0.171855767,0.207245021,0.07987333,0.165895826,0.09808201058201053
B04,1,0.881401617,0.957540264,0.917894737,0.789146199,0.748070175,0.840701754,0.338017626,0.248323382,0.173320513,0.111843275,0.407037852,0.392969712,0.220064304,0.386778678,0.16747835497835492
B04,2,0.881401617,0.957540264,0.917894737,0.785637427,0.741052632,0.842105263,0.340135668,0.251324807,0.177115523,0.115371147,0.408543853,0.3945254,0.222912821,0.388429717,0.1464646464646465
B04,3,0.881401617,0.957540264,0.917894737,0.785637427,0.741052632,0.842105263,0.160234162,0.087979967,0.044901386,0.024216594,0.17323296,0.208231935,0.081095547,0.166944966,0.10134644766997702
B04,4,0.881401617,0.957540264,0.917894737,0.78825731,0.745263158,0.842105263,0.158614399,0.086889781,0.043456258,0.023069558,0.171294972,0.206641349,0.079753989,0.165367653,0.11542792792792787
B05,0,0.890044577,0.877013177,0.883480826,0.556907571,0.449852507,0.709439528,0.155342252,0.082571271,0.042980218,0.021329966,0.168912597,0.195190353,0.07348623,0.161586403,0.02734828245607086
B05,1,0.846953938,0.834553441,0.840707965,0.487217306,0.386430678,0.648967552,0.135436565,0.066090565,0.032687929,0.016868281,0.146107932,0.171789221,0.059026084,0.141339666,0.02269342449018352
B05,2,0.890044577,0.877013177,0.883480826,0.523500492,0.412979351,0.702064897,0.142960707,0.070920227,0.035152145,0.017469782,0.155157626,0.181770278,0.06336856,0.149906545,0.026019066726773007
B05,3,0.889552239,0.872620791,0.881005174,0.523774329,0.413895048,0.702143385,0.142514561,0.070651133,0.035055641,0.017508518,0.154760079,0.181199084,0.063188509,0.149398863,0.02512026270397266
B05,4,0.889880952,0.875549048,0.882656827,0.522656827,0.413284133,0.699630996,0.142872674,0.070889115,0.035075852,0.017482675,0.155196756,0.181628027,0.063336377,0.149789192,0.02550774244172972
B06,0,0.800322061,0.727672035,0.762269939,0.55841002,0.498466258,0.644171779,0.112244749,0.049176748,0.018817478,0.008819627,0.123472865,0.142969862,0.041702042,0.113089692,0.020631435882107644
B06,1,0.843853821,0.743777452,0.790661479,0.557509728,0.488715953,0.650583658,0.118375619,0.053324132,0.021843842,0.009360558,0.12854045,0.148769332,0.043978796,0.117731723,0.02142857360981079
B07,0,0.857954545,0.884333821,0.870944484,0.655179043,0.55371305,0.790194665,0.321176682,0.235359341,0.164519651,0.104326018,0.40555681,0.368386413,0.204884131,0.379786786,0.05322386531268109
B07,1,0.857954545,0.884333821,0.870944484,0.655179043,0.55371305,0.790194665,0.320974193,0.235079575,0.164137023,0.103994724,0.405090388,0.368117732,0.204526837,0.379489903,0.050416448486301425
B07,2,0.901990812,0.862371889,0.881736527,0.66506986,0.562874251,0.803892216,0.323430841,0.236784415,0.164673744,0.104982058,0.408366227,0.371303274,0.206292968,0.383830921,0.05868599891198099
B07,3,0.901990812,0.862371889,0.881736527,0.722330339,0.652694611,0.820359281,0.333500372,0.245999968,0.17215715,0.110130791,0.417164165,0.381404306,0.214309743,0.391542675,0.07845153057267394
B07,4,0.857954545,0.884333821,0.870944484,0.708219178,0.641672675,0.800288392,0.328275188,0.242214798,0.169847039,0.108250017,0.41279434,0.375369428,0.210992973,0.386393221,0.06380926807397395
B08,0,0.841309824,0.978038067,0.904536222,0.743037689,0.702775897,0.802979012,0.396115266,0.300170365,0.217223259,0.145253782,0.452614544,0.443321689,0.261280302,0.437151436,0.19171626984126985
B08,1,0.850253807,0.980966325,0.910944935,0.747949241,0.709721278,0.80489463,0.397547669,0.301395685,0.218503934,0.14610227,0.454858298,0.445245173,0.262852335,0.438999462,0.3680555555555555
B08,2,0.850253807,0.980966325,0.910944935,0.747949241,0.709721278,0.80489463,0.397547669,0.301395685,0.218503934,0.14610227,0.454858298,0.445245173,0.262852335,0.438999462,0.3680555555555555
B08,3,0.850253807,0.980966325,0.910944935,0.747949241,0.709721278,0.80489463,0.401284811,0.304723042,0.223122524,0.152481108,0.45966168,0.44868938,0.265659559,0.440460046,0.7013888888888888
B09,0,0.824756606,0.868228404,0.845934379,0.325844032,0.306704708,0.350927247,0.123299351,0.050236307,0.017358469,0.008297459,0.127158151,0.15591391,0.041009157,0.123560187,0.020202240121525453
B09,1,0.824756606,0.868228404,0.845934379,0.325844032,0.306704708,0.350927247,0.126916879,0.05358764,0.022653193,0.012890282,0.136495201,0.157685964,0.044390955,0.124105965,0.02139099451764175
B09,2,0.824756606,0.868228404,0.845934379,0.325844032,0.306704708,0.350927247,0.120320521,0.049693666,0.018550103,0.008002634,0.125342312,0.154331123,0.042431973,0.122220804,0.019981314764987664
B09,3,0.824756606,0.868228404,0.845934379,0.325844032,0.306704708,0.350927247,0.126912537,0.052628342,0.022283571,0.012565539,0.135786575,0.157383998,0.043582644,0.123119893,0.020889281601002178
B10,0,0.881793478,0.950219619,0.914728682,0.792623914,0.742776603,0.865398168,0.142650204,0.087546034,0.040529009,0.018989577,0.191915376,0.21063591,0.090570373,0.200882512,0.13318669252039708
B10,1,0.879310345,0.970717423,0.922755741,0.833240547,0.793319415,0.886569241,0.161714494,0.099011554,0.048603491,0.023669645,0.2095654,0.229498021,0.098137853,0.218688726,0.31179441473559116
B11,0,0.877408056,0.733528551,0.799043062,0.460632642,0.41307815,0.531100478,0.110568654,0.049862976,0.022909714,0.01053807,0.125660397,0.142482254,0.043633076,0.115365822,0.020249491563731778
B12,0,0.866666667,0.913616398,0.889522452,0.719933476,0.665716322,0.792587313,0.326906433,0.232768461,0.154804447,0.093920599,0.400821558,0.379979663,0.19903986,0.368654174,0.054472228551175915
B12,1,0.869742198,0.938506589,0.902816901,0.732652582,0.691549296,0.790140845,0.332699887,0.235136684,0.156808369,0.098371586,0.403938078,0.384946888,0.200253635,0.374228201,0.0619070131937779
B12,2,0.876731302,0.926793558,0.901067616,0.740854093,0.688967972,0.817081851,0.319905176,0.224030017,0.14650812,0.091611077,0.389789827,0.372614453,0.190696787,0.362820208,0.056510147918816665
B12,3,0.876731302,0.926793558,0.901067616,0.743795967,0.697508897,0.8113879,0.325483608,0.2300618,0.151625674,0.093890481,0.398544003,0.379147335,0.196970527,0.370476006,0.06189479738241349
B12,4,0.876731302,0.926793558,0.901067616,0.743179122,0.694661922,0.815658363,0.325993106,0.229808593,0.150970212,0.094994003,0.398840915,0.37757532,0.194434348,0.366496895,0.06118086348349507
B13,0,0.887591241,0.890190337,0.888888889,0.555555556,0.555555556,0.555555556,0.138102799,0.067335362,0.02629837,0.011286659,0.149170447,0.171067619,0.056051763,0.134614889,0.024815853017561163
B13,1,0.887591241,0.890190337,0.888888889,0.571637427,0.571637427,0.571637427,0.145227622,0.075383164,0.032090609,0.015032052,0.158001064,0.178277529,0.06301432,0.142005603,0.02638880682519377
B14,0,0.92139738,0.926793558,0.924087591,0.646350365,0.620437956,0.684671533,0.270498031,0.18178578,0.093586719,0.029792264,0.316689808,0.33239427,0.154344077,0.318353636,0.11387486698285253
B14,1,0.952136752,0.815519766,0.878548896,0.698343849,0.670347003,0.739747634,0.264708019,0.179292648,0.093865391,0.031001596,0.310701362,0.32518379,0.152948133,0.311435217,0.03485050629447182
B14,2,0.992063492,0.549048316,0.706880302,0.65284323,0.637134779,0.669180019,0.220489038,0.151696026,0.082584528,0.029451376,0.259315067,0.271137294,0.130547245,0.260147314,0.029991253091067076
B14,3,0.994459834,0.525622255,0.687739464,0.649744572,0.639846743,0.66091954,0.21894953,0.1513217,0.083388094,0.029543098,0.257461613,0.267136167,0.129807499,0.255818099,0.029590583452513374
B14,4,0.952136752,0.815519766,0.878548896,0.681624606,0.648264984,0.727129338,0.26049465,0.176351499,0.091576927,0.029835295,0.304425599,0.320670201,0.150811807,0.30735422,0.03309876785092302
B15,0,0.868778281,0.843338214,0.855869242,0.361639425,0.282317979,0.476968796,0.047294081,0.022703194,0.012346582,0.006480493,0.080038724,0.100765372,0.035371287,0.096826921,0.019114408519170425
B15,1,0.868778281,0.843338214,0.855869242,0.373699851,0.313521545,0.47102526,0.049557565,0.024352017,0.013273853,0.007362857,0.08354334,0.106932579,0.038929843,0.103589786,0.01955045835998217
B15,2,0.868778281,0.843338214,0.855869242,0.268400198,0.212481426,0.352154532,0.043521179,0.019834313,0.010396595,0.004840593,0.073005024,0.094269994,0.031341713,0.089306461,0.018157545721066596
B15,3,0.868778281,0.843338214,0.855869242,0.274839029,0.233283804,0.343239227,0.046071236,0.020876119,0.010790605,0.005098503,0.074981648,0.099826634,0.032947737,0.094546683,0.018349158151789727
B15,4,0.868778281,0.843338214,0.855869242,0.349331352,0.280832095,0.468053492,0.044673672,0.020520017,0.010649781,0.005213197,0.077055126,0.100916561,0.034338056,0.097762422,0.018800431164982246
B16,0,0.861370717,0.80966325,0.834716981,0.716654088,0.677735849,0.763773585,0.292771561,0.200221956,0.121622128,0.064301422,0.333225247,0.344177885,0.169012902,0.332713263,0.03806539502617933
B16,1,0.862229102,0.815519766,0.838224229,0.701479809,0.657637321,0.761474793,0.299666245,0.206812298,0.128910691,0.07329902,0.338580552,0.353699997,0.176640292,0.343319326,0.038643430509372544
B16,2,0.863565891,0.815519766,0.838855422,0.717595382,0.679216867,0.765060241,0.288576144,0.196223562,0.117854393,0.059176348,0.325626074,0.340164057,0.16618468,0.331891486,0.03773208713684904
B16,3,0.885245902,0.869692533,0.877400295,0.749286066,0.710487445,0.797636632,0.30826411,0.209745895,0.126780401,0.070074578,0.354700293,0.364126356,0.178089901,0.352340302,0.05725627976267362
B16,4,0.884557721,0.863836018,0.874074074,0.726320988,0.681481481,0.786666667,0.30730068,0.2111171,0.130651975,0.072688959,0.350020319,0.362244946,0.180600216,0.349873919,0.04462067869239091
